"filename", "language", "SCSS", "PHP", "JavaScript", "HTML", "JSON", "vue", "comment", "blank", "total"
"c:\laragon\www\telexperticia\resources\views\app\reports\index.blade.php", "PHP", 0, 186, 0, 0, 0, 0, 0, 11, 197
"c:\laragon\www\telexperticia\resources\views\app\reports\record.blade.php", "PHP", 0, 16, 0, 0, 0, 0, 0, 1, 17
"c:\laragon\www\telexperticia\resources\views\app\reports\show.blade.php", "PHP", 0, 177, 0, 0, 0, 0, 0, 7, 184
"c:\laragon\www\telexperticia\resources\views\app\roles\create.blade.php", "PHP", 0, 70, 0, 0, 0, 0, 0, 9, 79
"c:\laragon\www\telexperticia\resources\views\app\roles\edit.blade.php", "PHP", 0, 74, 0, 0, 0, 0, 0, 9, 83
"c:\laragon\www\telexperticia\resources\views\app\roles\form-inputs.blade.php", "PHP", 0, 30, 0, 0, 0, 0, 0, 4, 34
"c:\laragon\www\telexperticia\resources\views\app\roles\index.blade.php", "PHP", 0, 102, 0, 0, 0, 0, 0, 9, 111
"c:\laragon\www\telexperticia\resources\views\app\roles\show.blade.php", "PHP", 0, 33, 0, 0, 0, 0, 0, 6, 39
"c:\laragon\www\telexperticia\resources\views\app\specialties\create.blade.php", "PHP", 0, 33, 0, 0, 0, 0, 0, 4, 37
"c:\laragon\www\telexperticia\resources\views\app\specialties\edit.blade.php", "PHP", 0, 43, 0, 0, 0, 0, 0, 7, 50
"c:\laragon\www\telexperticia\resources\views\app\specialties\form-inputs.blade.php", "PHP", 0, 12, 0, 0, 0, 0, 0, 2, 14
"c:\laragon\www\telexperticia\resources\views\app\specialties\index.blade.php", "PHP", 0, 122, 0, 0, 0, 0, 0, 14, 136
"c:\laragon\www\telexperticia\resources\views\app\specialties\show.blade.php", "PHP", 0, 39, 0, 0, 0, 0, 0, 6, 45
"c:\laragon\www\telexperticia\resources\views\app\stats\index.blade.php", "PHP", 0, 214, 0, 0, 0, 0, 0, 10, 224
"c:\laragon\www\telexperticia\resources\views\app\users\create.blade.php", "PHP", 0, 73, 0, 0, 0, 0, 0, 7, 80
