Date : 2021-06-01 01:31:50
Directory : c:\laragon\www\telexperticia
Total : 2246 files,  337091 codes, 37413 comments, 36099 blanks, all 410603 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
| c:\laragon\www\telexperticia\public\assets\plugins\tinymce\plugins\help\plugin.js                                    | JavaScript   |        872 |          8 |         29 |        909 |
| c:\laragon\www\telexperticia\public\assets\plugins\tinymce\plugins\help\plugin.min.js                                | JavaScript   |          1 |          8 |          0 |          9 |
| c:\laragon\www\telexperticia\public\assets\plugins\tinymce\plugins\hr\index.js                                       | JavaScript   |          1 |          6 |          0 |          7 |
| c:\laragon\www\telexperticia\public\assets\plugins\tinymce\plugins\hr\plugin.js                                      | JavaScript   |         34 |          8 |          7 |         49 |
| c:\laragon\www\telexperticia\public\assets\plugins\tinymce\plugins\hr\plugin.min.js                                  | JavaScript   |          1 |          8 |          0 |          9 |
| c:\laragon\www\telexperticia\public\assets\plugins\tinymce\plugins\image\index.js                                    | JavaScript   |          1 |          6 |          0 |          7 |
| c:\laragon\www\telexperticia\public\assets\plugins\tinymce\plugins\image\plugin.js                                   | JavaScript   |      2,474 |          8 |         38 |      2,520 |
| c:\laragon\www\telexperticia\public\assets\plugins\tinymce\plugins\image\plugin.min.js                               | JavaScript   |          1 |          8 |          0 |          9 |
| c:\laragon\www\telexperticia\public\assets\plugins\tinymce\plugins\imagetools\index.js                               | JavaScript   |          1 |          6 |          0 |          7 |
| c:\laragon\www\telexperticia\public\assets\plugins\tinymce\plugins\imagetools\plugin.js                              | JavaScript   |      1,659 |          8 |         52 |      1,719 |
| c:\laragon\www\telexperticia\public\assets\plugins\tinymce\plugins\imagetools\plugin.min.js                          | JavaScript   |          1 |          8 |          0 |          9 |
| c:\laragon\www\telexperticia\public\assets\plugins\tinymce\plugins\importcss\index.js                                | JavaScript   |          1 |          6 |          0 |          7 |
| c:\laragon\www\telexperticia\public\assets\plugins\tinymce\plugins\importcss\plugin.js                               | JavaScript   |        383 |          8 |         17 |        408 |
| c:\laragon\www\telexperticia\public\assets\plugins\tinymce\plugins\importcss\plugin.min.js                           | JavaScript   |          1 |          8 |          0 |          9 |
| c:\laragon\www\telexperticia\public\assets\plugins\tinymce\plugins\insertdatetime\index.js                           | JavaScript   |          1 |          6 |          0 |          7 |
| c:\laragon\www\telexperticia\public\assets\plugins\tinymce\plugins\insertdatetime\plugin.js                          | JavaScript   |        180 |          8 |         11 |        199 |
| c:\laragon\www\telexperticia\public\assets\plugins\tinymce\plugins\insertdatetime\plugin.min.js                      | JavaScript   |          1 |          8 |          0 |          9 |
| c:\laragon\www\telexperticia\public\assets\plugins\tinymce\plugins\legacyoutput\index.js                             | JavaScript   |          1 |          6 |          0 |          7 |
| c:\laragon\www\telexperticia\public\assets\plugins\tinymce\plugins\legacyoutput\plugin.js                            | JavaScript   |        169 |          8 |          8 |        185 |
| c:\laragon\www\telexperticia\public\assets\plugins\tinymce\plugins\legacyoutput\plugin.min.js                        | JavaScript   |          1 |          8 |          0 |          9 |
| c:\laragon\www\telexperticia\public\assets\plugins\tinymce\plugins\link\index.js                                     | JavaScript   |          1 |          6 |          0 |          7 |
| c:\laragon\www\telexperticia\public\assets\plugins\tinymce\plugins\link\plugin.js                                    | JavaScript   |      1,800 |          8 |         36 |      1,844 |
| c:\laragon\www\telexperticia\public\assets\plugins\tinymce\plugins\link\plugin.min.js                                | JavaScript   |          1 |          8 |          0 |          9 |
| c:\laragon\www\telexperticia\public\assets\plugins\tinymce\plugins\lists\index.js                                    | JavaScript   |          1 |          6 |          0 |          7 |
| c:\laragon\www\telexperticia\public\assets\plugins\tinymce\plugins\lists\plugin.js                                   | JavaScript   |      2,103 |          8 |         75 |      2,186 |
| c:\laragon\www\telexperticia\public\assets\plugins\tinymce\plugins\lists\plugin.min.js                               | JavaScript   |          1 |          8 |          0 |          9 |
| c:\laragon\www\telexperticia\public\assets\plugins\tinymce\plugins\media\index.js                                    | JavaScript   |          1 |          6 |          0 |          7 |
| c:\laragon\www\telexperticia\public\assets\plugins\tinymce\plugins\media\plugin.js                                   | JavaScript   |      1,314 |          8 |         37 |      1,359 |
| c:\laragon\www\telexperticia\public\assets\plugins\tinymce\plugins\media\plugin.min.js                               | JavaScript   |          1 |          8 |          0 |          9 |
| c:\laragon\www\telexperticia\public\assets\plugins\tinymce\plugins\nonbreaking\index.js                              | JavaScript   |          1 |          6 |          0 |          7 |
| c:\laragon\www\telexperticia\public\assets\plugins\tinymce\plugins\nonbreaking\plugin.js                             | JavaScript   |         91 |          8 |         11 |        110 |
| c:\laragon\www\telexperticia\public\assets\plugins\tinymce\plugins\nonbreaking\plugin.min.js                         | JavaScript   |          1 |          8 |          0 |          9 |
| c:\laragon\www\telexperticia\public\assets\plugins\tinymce\plugins\noneditable\index.js                              | JavaScript   |          1 |          6 |          0 |          7 |
| c:\laragon\www\telexperticia\public\assets\plugins\tinymce\plugins\noneditable\plugin.js                             | JavaScript   |        109 |          8 |          8 |        125 |
| c:\laragon\www\telexperticia\public\assets\plugins\tinymce\plugins\noneditable\plugin.min.js                         | JavaScript   |          1 |          8 |          0 |          9 |
| c:\laragon\www\telexperticia\public\assets\plugins\tinymce\plugins\pagebreak\index.js                                | JavaScript   |          1 |          6 |          0 |          7 |
| c:\laragon\www\telexperticia\public\assets\plugins\tinymce\plugins\pagebreak\plugin.js                               | JavaScript   |        101 |          8 |         11 |        120 |
| c:\laragon\www\telexperticia\public\assets\plugins\tinymce\plugins\pagebreak\plugin.min.js                           | JavaScript   |          1 |          8 |          0 |          9 |
| c:\laragon\www\telexperticia\public\assets\plugins\tinymce\plugins\paste\index.js                                    | JavaScript   |          1 |          6 |          0 |          7 |
| c:\laragon\www\telexperticia\public\assets\plugins\tinymce\plugins\paste\plugin.js                                   | JavaScript   |      2,345 |          8 |         48 |      2,401 |
| c:\laragon\www\telexperticia\public\assets\plugins\tinymce\plugins\paste\plugin.min.js                               | JavaScript   |          1 |          8 |          0 |          9 |
| c:\laragon\www\telexperticia\public\assets\plugins\tinymce\plugins\preview\index.js                                  | JavaScript   |          1 |          6 |          0 |          7 |
| c:\laragon\www\telexperticia\public\assets\plugins\tinymce\plugins\preview\plugin.js                                 | JavaScript   |        107 |          8 |         12 |        127 |
| c:\laragon\www\telexperticia\public\assets\plugins\tinymce\plugins\preview\plugin.min.js                             | JavaScript   |          1 |          8 |          0 |          9 |
| c:\laragon\www\telexperticia\public\assets\plugins\tinymce\plugins\print\index.js                                    | JavaScript   |          1 |          6 |          0 |          7 |
| c:\laragon\www\telexperticia\public\assets\plugins\tinymce\plugins\print\plugin.js                                   | JavaScript   |         40 |          8 |          8 |         56 |
| c:\laragon\www\telexperticia\public\assets\plugins\tinymce\plugins\print\plugin.min.js                               | JavaScript   |          1 |          8 |          0 |          9 |
| c:\laragon\www\telexperticia\public\assets\plugins\tinymce\plugins\quickbars\index.js                                | JavaScript   |          1 |          6 |          0 |          7 |
| c:\laragon\www\telexperticia\public\assets\plugins\tinymce\plugins\quickbars\plugin.js                               | JavaScript   |        835 |          8 |         41 |        884 |
| c:\laragon\www\telexperticia\public\assets\plugins\tinymce\plugins\quickbars\plugin.min.js                           | JavaScript   |          1 |          8 |          0 |          9 |
| c:\laragon\www\telexperticia\public\assets\plugins\tinymce\plugins\save\index.js                                     | JavaScript   |          1 |          6 |          0 |          7 |
| c:\laragon\www\telexperticia\public\assets\plugins\tinymce\plugins\save\plugin.js                                    | JavaScript   |        113 |          8 |         11 |        132 |
| c:\laragon\www\telexperticia\public\assets\plugins\tinymce\plugins\save\plugin.min.js                                | JavaScript   |          1 |          8 |          0 |          9 |
| c:\laragon\www\telexperticia\public\assets\plugins\tinymce\plugins\searchreplace\index.js                            | JavaScript   |          1 |          6 |          0 |          7 |
| c:\laragon\www\telexperticia\public\assets\plugins\tinymce\plugins\searchreplace\plugin.js                           | JavaScript   |        849 |          8 |         23 |        880 |
| c:\laragon\www\telexperticia\public\assets\plugins\tinymce\plugins\searchreplace\plugin.min.js                       | JavaScript   |          1 |          8 |          0 |          9 |
| c:\laragon\www\telexperticia\public\assets\plugins\tinymce\plugins\spellchecker\index.js                             | JavaScript   |          1 |          6 |          0 |          7 |
| c:\laragon\www\telexperticia\public\assets\plugins\tinymce\plugins\spellchecker\plugin.js                            | JavaScript   |        796 |          8 |         22 |        826 |
| c:\laragon\www\telexperticia\public\assets\plugins\tinymce\plugins\spellchecker\plugin.min.js                        | JavaScript   |          1 |          8 |          0 |          9 |
| c:\laragon\www\telexperticia\public\assets\plugins\tinymce\plugins\tabfocus\index.js                                 | JavaScript   |          1 |          6 |          0 |          7 |
| c:\laragon\www\telexperticia\public\assets\plugins\tinymce\plugins\tabfocus\plugin.js                                | JavaScript   |        110 |          8 |         13 |        131 |
| c:\laragon\www\telexperticia\public\assets\plugins\tinymce\plugins\tabfocus\plugin.min.js                            | JavaScript   |          1 |          8 |          0 |          9 |
| c:\laragon\www\telexperticia\public\assets\plugins\tinymce\plugins\table\index.js                                    | JavaScript   |          1 |          6 |          0 |          7 |
| c:\laragon\www\telexperticia\public\assets\plugins\tinymce\plugins\table\plugin.js                                   | JavaScript   |      9,261 |          8 |        227 |      9,496 |
| c:\laragon\www\telexperticia\public\assets\plugins\tinymce\plugins\table\plugin.min.js                               | JavaScript   |          1 |          8 |          0 |          9 |
| c:\laragon\www\telexperticia\public\assets\plugins\tinymce\plugins\template\index.js                                 | JavaScript   |          1 |          6 |          0 |          7 |
| c:\laragon\www\telexperticia\public\assets\plugins\tinymce\plugins\template\plugin.js                                | JavaScript   |        570 |          8 |         21 |        599 |
| c:\laragon\www\telexperticia\public\assets\plugins\tinymce\plugins\template\plugin.min.js                            | JavaScript   |          1 |          8 |          0 |          9 |
| c:\laragon\www\telexperticia\public\assets\plugins\tinymce\plugins\textcolor\index.js                                | JavaScript   |          1 |          6 |          0 |          7 |
| c:\laragon\www\telexperticia\public\assets\plugins\tinymce\plugins\textcolor\plugin.js                               | JavaScript   |         10 |          8 |          5 |         23 |
| c:\laragon\www\telexperticia\public\assets\plugins\tinymce\plugins\textcolor\plugin.min.js                           | JavaScript   |          1 |          8 |          0 |          9 |
| c:\laragon\www\telexperticia\public\assets\plugins\tinymce\plugins\textpattern\index.js                              | JavaScript   |          1 |          6 |          0 |          7 |
| c:\laragon\www\telexperticia\public\assets\plugins\tinymce\plugins\textpattern\plugin.js                             | JavaScript   |      1,374 |          8 |         36 |      1,418 |
| c:\laragon\www\telexperticia\public\assets\plugins\tinymce\plugins\textpattern\plugin.min.js                         | JavaScript   |          1 |          8 |          0 |          9 |
