"filename", "language", "SCSS", "JavaScript", "PHP", "HTML", "JSON", "vue", "Markdown", "CSS", "Makefile", "Shell Script", "YAML", "Less", "Ignore", "CoffeeScript", "XML", "comment", "blank", "total"
"c:\laragon\www\telexperticia\public\assets\js\simplemde.js", "JavaScript", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 11
"c:\laragon\www\telexperticia\public\assets\js\sparkline.js", "JavaScript", 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 5, 51
"c:\laragon\www\telexperticia\public\assets\js\spinner.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"c:\laragon\www\telexperticia\public\assets\js\sweet-alert.js", "JavaScript", 0, 168, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8, 178
"c:\laragon\www\telexperticia\public\assets\js\tags-input.js", "JavaScript", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
"c:\laragon\www\telexperticia\public\assets\js\template.js", "JavaScript", 0, 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 15, 81
"c:\laragon\www\telexperticia\public\assets\js\timepicker.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 8
"c:\laragon\www\telexperticia\public\assets\js\tinymce.js", "JavaScript", 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 30
"c:\laragon\www\telexperticia\public\assets\js\typeahead.js", "JavaScript", 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 8, 61
"c:\laragon\www\telexperticia\public\assets\js\wizard.js", "JavaScript", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 16
"c:\laragon\www\telexperticia\public\assets\plugins\@mdi\.github\ISSUE_TEMPLATE.md", "Markdown", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\laragon\www\telexperticia\public\assets\plugins\@mdi\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 26
"c:\laragon\www\telexperticia\public\assets\plugins\@mdi\css\materialdesignicons.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 15565, 0, 0, 0, 0, 0, 0, 0, 114, 5175, 20854
"c:\laragon\www\telexperticia\public\assets\plugins\@mdi\css\materialdesignicons.min.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 3
"c:\laragon\www\telexperticia\public\assets\plugins\@mdi\license.md", "Markdown", 0, 0, 0, 0, 0, 0, 78, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 97
"c:\laragon\www\telexperticia\public\assets\plugins\@mdi\package.json", "JSON", 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 38
"c:\laragon\www\telexperticia\public\assets\plugins\@mdi\preview.html", "HTML", 0, 0, 0, 640, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 78, 718
"c:\laragon\www\telexperticia\public\assets\plugins\@mdi\scss\_animated.scss", "SCSS", 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 27
"c:\laragon\www\telexperticia\public\assets\plugins\@mdi\scss\_core.scss", "SCSS", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10
